Electrode_name,Electrode_id,X (m),Y (m),Z (m),(1) Left_Right Hand MI,(2) Motor Movement_Imagery Dataset,(3) Grasp and Lift EEG Challenge,(4) The largest SCP data of Motor-Imagery,(5) BCI Competition IV-1,(6) BCI Competition IV-2a,(7) BCI Competition IV-2b,(8) High-Gamma Dataset
PPO9,311,-0.0645703,-0.0864318,-0.038324,,,,,,,,
PPO7,312,-0.0645833,-0.0862218,3.30E-05,,,,,,,,
PPO5,313,-0.0587123,-0.0887048,0.025193,,,,,,,,
PPO3,314,-0.0461603,-0.0908878,0.047446,,,,,,,,
PPO1,315,-0.0246483,-0.0922919,0.062076,,,,,,,,97
PPOz,316,0.0002727,-0.092758,0.067342,,,,,,,,
PPO2,317,0.0264367,-0.0922951,0.063199,,,,,,,,98
PPO4,318,0.0471437,-0.0907122,0.047678,,,,,,,,
PPO6,319,0.0608127,-0.0885042,0.025662,,,,,,,,
PPO8,320,0.0651517,-0.0859432,-9.00E-06,,,,,,,,
PPO10,321,0.0650377,-0.0867182,-0.038448,,,,,,,,
POO9,322,-0.0431284,-0.107516,-0.032387,,,,,,,,
POO7,323,-0.0429764,-0.106493,0.005773,,,,,,,,
POO5,324,-0.0362344,-0.107716,0.01775,,,,,,,,
POO3,325,-0.0259844,-0.108616,0.026544,,,,,,,,
POO1,326,-0.0136644,-0.109266,0.032856,,,,,,,,
POOz,327,0.0001676,-0.109276,0.03279,,,,,,,,
POO2,328,0.0136506,-0.109106,0.030936,,,,,,,,
POO4,329,0.0266636,-0.108668,0.026415,,,,,,,,
POO6,330,0.0377006,-0.10784,0.018069,,,,,,,,
POO8,331,0.0436696,-0.106599,0.005726,,,,,,,,
POO10,332,0.0431766,-0.107444,-0.032463,,,,,,,,
OI1,333,-0.0293914,-0.114511,-0.01002,,,,,,,,
OIz,334,5.25E-05,-0.119343,-0.003936,,,,,,,,
OI2,335,0.0295526,-0.113636,-0.010051,,,,,,,,
T3,336,-0.0841611,-0.0160187,-0.009346,,,,15,,,,
T5,337,-0.0724343,-0.0734527,-0.002487,,,,17,,,,
T4,338,0.0850799,-0.0150203,-0.00949,,,,16,,,,
T6,339,0.0730557,-0.0730683,-0.00254,,,,18,,,,
M1,340,-0.0860761,-0.0449897,-0.067986,,,,,,,,13
M2,341,0.0857939,-0.0450093,-0.068031,,,,,,,,19
A1,342,-0.0860761,-0.0249897,-0.067986,,,,11,,,,
A2,343,0.0857939,-0.0250093,-0.068031,,,,12,,,,
